t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743439149,362154,12.032658,4.337864,1.276329,1.409691,4.129591,5.037649,6.975536,8.313615,8.987102,11.278726,3810.724518,3429.225061,2417.827793,2088.285943,calls/second,milliseconds
1743439150,364539,13.175633,4.207732,1.332737,1.367838,4.005695,4.961217,6.688799,7.596672,8.563678,11.656358,3795.675571,3429.225061,2417.827793,2088.285943,calls/second,milliseconds
1743439151,366943,11.895601,4.160208,1.505529,1.237369,3.976493,4.780558,6.522284,7.478141,8.108883,9.902190,3781.280713,3429.225061,2417.827793,2088.285943,calls/second,milliseconds
1743439152,369349,10.563523,4.158916,1.434498,1.263151,3.986294,4.737375,6.664098,7.461308,8.024362,9.700463,3767.204512,3429.225061,2417.827793,2088.285943,calls/second,milliseconds
1743439153,371737,13.968244,4.187198,1.617501,1.285155,3.962157,4.804062,6.570424,7.389395,8.102492,10.882515,3753.245187,3429.225061,2417.827793,2088.285943,calls/second,milliseconds
1743439154,374790,11.327738,3.280785,0.987663,1.652301,3.225912,4.365713,6.205448,7.090515,7.888106,10.221315,3746.134775,3356.799288,2419.572748,2090.696541,calls/second,milliseconds
1743439155,377546,11.828340,3.627918,1.039420,1.674777,3.572563,4.637941,6.710354,7.447598,7.921664,10.142772,3736.299076,3356.799288,2419.572748,2090.696541,calls/second,milliseconds
1743439156,380515,11.453585,3.364822,1.064134,1.718216,3.379814,4.422697,6.368831,7.307863,8.387124,10.565252,3728.737644,3356.799288,2419.572748,2090.696541,calls/second,milliseconds
1743439157,383019,17.093952,3.991940,1.108477,1.654761,3.842345,4.896767,6.840297,8.149506,9.121088,13.112894,3716.814781,3356.799288,2419.572748,2090.696541,calls/second,milliseconds
1743439158,385921,11.264889,3.448060,1.037984,1.551159,3.410209,4.407280,6.101734,6.838575,7.583353,11.012423,3708.943055,3356.799288,2419.572748,2090.696541,calls/second,milliseconds
1743439159,388535,11.038591,3.822382,1.251548,1.463042,3.661034,4.617640,6.608116,7.369803,7.900372,10.768063,3698.480807,3307.882518,2424.951588,2094.321482,calls/second,milliseconds
1743439160,391345,11.839594,3.571613,1.004264,1.471650,3.506749,4.434164,6.215275,7.142493,7.677524,10.723078,3689.975319,3307.882518,2424.951588,2094.321482,calls/second,milliseconds
1743439161,394439,10.013991,3.254814,1.008318,1.670483,3.282873,4.395551,6.127768,7.127195,7.615218,9.108350,3684.245233,3307.882518,2424.951588,2094.321482,calls/second,milliseconds
1743439162,397300,11.211930,3.494871,1.048870,1.604211,3.464564,4.566949,6.267731,7.073902,7.623634,9.799363,3676.589265,3307.882518,2424.951588,2094.321482,calls/second,milliseconds
1743439163,400086,12.703869,3.596989,0.951615,1.532261,3.666329,4.476075,6.290200,6.952076,7.751307,10.429284,3668.281423,3307.882518,2424.951588,2094.321482,calls/second,milliseconds
1743439164,402877,9.301771,3.591023,0.998480,1.475628,3.591387,4.461120,6.227964,7.146943,7.665317,9.195492,3660.177690,3270.936440,2431.907600,2098.484787,calls/second,milliseconds
1743439165,407822,9.389197,2.022434,0.942526,1.329643,1.398206,2.162421,4.931177,6.093684,6.724351,8.898861,3671.711676,3270.936440,2431.907600,2098.484787,calls/second,milliseconds
1743439166,415541,81.511337,1.297842,0.806525,0.934488,1.265394,1.380514,1.575811,1.698233,1.854122,2.838015,3707.652417,3270.936440,2431.907600,2098.484787,calls/second,milliseconds
1743439167,419413,12.259688,2.580055,1.042892,1.659841,1.591268,3.678743,5.942670,6.966084,7.574866,10.463576,3708.977649,3270.936440,2431.907600,2098.484787,calls/second,milliseconds
1743439168,422616,9.328952,3.133591,0.980382,1.576481,3.096692,4.248368,5.890698,6.760908,7.282948,8.901060,3704.503631,3270.936440,2431.907600,2098.484787,calls/second,milliseconds
1743439169,424953,14.127042,4.277028,1.474987,1.385251,4.067648,5.024192,6.907960,7.645261,8.223460,12.273120,3692.584886,3362.746525,2464.754654,2111.341902,calls/second,milliseconds
1743439170,427911,11.074505,3.379380,1.007840,1.658235,3.323581,4.363789,6.366967,7.379217,8.061181,9.900894,3686.211011,3362.746525,2464.754654,2111.341902,calls/second,milliseconds
1743439171,430757,11.157778,3.508607,0.993152,1.595532,3.520666,4.503914,6.215681,7.001350,7.934618,10.635731,3678.996905,3362.746525,2464.754654,2111.341902,calls/second,milliseconds
1743439172,433333,11.561146,3.897862,1.027348,1.461728,3.801136,4.700436,6.516695,7.528882,8.155782,10.871759,3669.488990,3362.746525,2464.754654,2111.341902,calls/second,milliseconds
1743439173,436603,11.960144,3.054206,1.016448,1.564093,2.989920,4.171894,5.812950,6.521148,6.974991,9.941930,3666.103707,3362.746525,2464.754654,2111.341902,calls/second,milliseconds
1743439174,439638,50.866115,3.298268,0.956213,2.802533,2.995434,3.996230,6.079130,7.384129,9.663637,37.324554,3660.813130,3327.778227,2472.368452,2115.851908,calls/second,milliseconds
1743439175,444105,9.609541,2.241051,1.004209,0.936106,2.028319,2.744108,3.944352,4.710288,5.364614,7.890861,3667.358523,3327.778227,2472.368452,2115.851908,calls/second,milliseconds
1743439176,448335,17.186961,2.361911,0.987732,1.129444,2.018594,2.907210,4.501482,5.440444,6.121110,9.698466,3671.933329,3327.778227,2472.368452,2115.851908,calls/second,milliseconds
1743439177,452027,21.829196,2.707397,0.992196,1.959916,2.002674,3.213065,6.180540,8.265309,10.741158,19.261027,3671.983805,3327.778227,2472.368452,2115.851908,calls/second,milliseconds
1743439178,454912,10.276138,3.471841,1.026887,1.605527,3.480649,4.461652,6.273863,7.221819,7.692721,9.582446,3665.598237,3327.778227,2472.368452,2115.851908,calls/second,milliseconds
1743439179,457364,14.543172,4.081712,1.190708,1.596157,3.876800,4.839203,7.057932,8.152948,8.894041,12.504888,3655.871076,3344.746543,2490.014850,2123.741905,calls/second,milliseconds
1743439180,460302,10.926778,3.397500,1.016433,1.530725,3.341505,4.274447,6.123391,6.949655,7.874669,10.568293,3650.153469,3344.746543,2490.014850,2123.741905,calls/second,milliseconds
1743439181,463543,10.489835,3.085866,1.053993,1.592831,3.010892,4.190856,5.967087,6.706093,7.238636,9.402893,3646.885504,3344.746543,2490.014850,2123.741905,calls/second,milliseconds
1743439182,466518,11.710675,3.356544,1.041587,1.656348,3.339649,4.374035,6.400266,7.140369,7.937826,9.268087,3641.618287,3344.746543,2490.014850,2123.741905,calls/second,milliseconds
1743439183,469460,10.999169,3.404966,1.032518,1.654717,3.340515,4.352035,6.362799,7.472571,8.295741,10.668223,3636.062581,3344.746543,2490.014850,2123.741905,calls/second,milliseconds
1743439184,472195,9.647960,3.661579,1.003074,1.531790,3.749137,4.601857,6.258054,7.078093,7.554599,9.151462,3629.062356,3315.007340,2497.994586,2128.445816,calls/second,milliseconds
1743439185,475616,14.885560,2.926288,1.006102,1.589368,2.588321,4.059181,5.796630,6.667169,7.321700,9.898699,3627.444515,3315.007340,2497.994586,2128.445816,calls/second,milliseconds
1743439186,478280,9.427849,3.748919,1.077485,1.465800,3.711675,4.620865,6.291004,7.072443,7.977996,9.309590,3620.126568,3315.007340,2497.994586,2128.445816,calls/second,milliseconds
1743439187,482602,14.378906,2.318358,0.984249,1.681015,1.491656,2.926487,5.797936,7.300055,8.676157,12.653693,3625.298298,3315.007340,2497.994586,2128.445816,calls/second,milliseconds
1743439188,486528,23.119353,2.553790,1.059971,1.355084,2.110765,3.154479,5.145031,6.155121,7.380250,11.456350,3627.443494,3315.007340,2497.994586,2128.445816,calls/second,milliseconds
1743439189,489075,19.666846,3.949314,1.118048,1.941123,3.650386,5.102669,7.508051,8.729445,9.785765,14.591034,3619.290707,3313.791428,2511.247264,2134.935296,calls/second,milliseconds
