t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743428318,45761,18.662526,12.511137,6.001660,2.108842,12.553225,13.918327,15.930975,16.912728,17.140319,18.662526,702.251844,651.096736,560.347066,537.767410,calls/second,milliseconds
1743428319,46550,23.066874,12.635263,5.969995,2.622587,12.573543,14.254414,16.974098,18.308920,19.568435,23.066874,703.553288,651.096736,560.347066,537.767410,calls/second,milliseconds
1743428320,47351,19.695566,12.483678,6.370664,2.313881,12.553802,14.045533,16.385964,17.254505,17.900151,19.695566,704.991330,651.096736,560.347066,537.767410,calls/second,milliseconds
1743428321,48143,20.401284,12.631155,6.256479,2.261600,12.724089,13.953033,16.350212,17.459462,18.749695,20.401284,706.257530,651.096736,560.347066,537.767410,calls/second,milliseconds
1743428322,48966,18.815492,12.255662,6.065704,2.127146,12.399000,13.743398,15.631932,16.516877,17.203826,18.815492,707.857289,651.096736,560.347066,537.767410,calls/second,milliseconds
1743428323,49784,21.404793,12.302731,6.293493,2.418097,12.217118,13.794264,16.428058,17.974194,19.471023,21.404793,709.346538,663.034366,564.314792,539.222435,calls/second,milliseconds
1743428324,50557,43.038290,13.036584,5.980348,4.052632,12.712350,14.168412,16.873391,22.250083,40.481937,43.038290,710.188533,663.034366,564.314792,539.222435,calls/second,milliseconds
1743428325,51363,18.142842,12.466193,6.375169,2.157014,12.381719,13.972521,15.898485,17.040361,17.367651,18.142842,711.444283,663.034366,564.314792,539.222435,calls/second,milliseconds
1743428326,52212,24.142734,11.836256,4.664518,2.468119,11.936770,13.310617,15.721970,17.302821,18.453215,24.142734,713.306254,663.034366,564.314792,539.222435,calls/second,milliseconds
1743428327,52907,20.758247,12.402221,6.148699,2.289302,12.369758,14.038571,15.878669,17.445748,18.627234,20.758247,713.049895,663.034366,564.314792,539.222435,calls/second,milliseconds
1743428328,53502,414.239964,19.142406,5.834388,51.221516,12.492480,13.868474,17.123206,19.934975,409.053266,414.239964,711.473167,669.412074,567.264893,540.350285,calls/second,milliseconds
1743428329,54329,19.941211,12.074889,6.266857,2.424769,12.095075,13.709390,16.089352,16.944741,17.318658,19.941211,712.981812,669.412074,567.264893,540.350285,calls/second,milliseconds
1743428330,55148,18.893289,12.188571,6.339702,2.126241,12.228846,13.522841,15.821678,17.157207,17.591602,18.893289,714.340583,669.412074,567.264893,540.350285,calls/second,milliseconds
1743428331,55959,19.226801,12.346477,6.264889,2.188684,12.494307,13.829665,15.711804,17.039189,18.448817,19.226801,715.564053,669.412074,567.264893,540.350285,calls/second,milliseconds
1743428332,56769,19.227628,12.376003,5.645525,2.301742,12.268898,13.759589,16.852025,17.736183,18.680039,19.227628,716.734761,669.412074,567.264893,540.350285,calls/second,milliseconds
1743428333,57599,21.129366,12.053011,6.116115,2.357166,12.056702,13.422562,15.846420,17.283742,19.248150,21.129366,718.137306,681.196562,571.389346,541.881859,calls/second,milliseconds
1743428334,58432,20.059150,12.046215,6.339743,2.125174,12.084715,13.371239,15.552386,16.770791,17.767584,20.059150,719.543845,681.196562,571.389346,541.881859,calls/second,milliseconds
1743428335,58858,238.881397,13.556980,6.910093,15.795140,12.337468,13.817796,16.820509,24.326192,26.619284,238.881397,715.956659,681.196562,571.389346,541.881859,calls/second,milliseconds
1743428336,59646,514.124878,18.059146,6.284241,51.860865,12.495244,13.666757,15.909497,17.340389,508.922959,514.124878,716.802879,681.196562,571.389346,541.881859,calls/second,milliseconds
1743428337,60438,41.365248,12.617800,5.745104,3.458528,12.395276,13.693115,16.146617,20.199573,34.107463,41.365248,717.677756,681.196562,571.389346,541.881859,calls/second,milliseconds
