t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743018655,424649,4.729017,0.858716,0.542406,0.143110,0.845629,0.911291,1.031065,1.116652,1.376525,2.199723,11419.796568,11067.709018,10839.872633,10792.603813,calls/second,milliseconds
1743018656,436341,2.236382,0.852091,0.512565,0.100116,0.847612,0.911719,1.009894,1.061807,1.101295,1.436128,11426.112914,11067.709018,10839.872633,10792.603813,calls/second,milliseconds
1743018657,448023,2.565550,0.852864,0.550922,0.104266,0.847770,0.911304,1.012957,1.063691,1.112812,1.722097,11431.735461,11067.709018,10839.872633,10792.603813,calls/second,milliseconds
1743018658,459780,1.842603,0.848493,0.531207,0.101998,0.841414,0.909085,1.014422,1.068659,1.111149,1.582172,11438.634157,11109.341170,10852.244702,10797.012645,calls/second,milliseconds
1743018659,471540,3.097341,0.848362,0.558527,0.103065,0.844902,0.907307,1.002222,1.052495,1.085881,1.756110,11445.180893,11109.341170,10852.244702,10797.012645,calls/second,milliseconds
1743018660,483319,2.176194,0.844922,0.534427,0.104995,0.839401,0.903343,1.004973,1.058458,1.105763,1.803324,11452.537055,11109.341170,10852.244702,10797.012645,calls/second,milliseconds
1743018661,495022,1.516197,0.852143,0.560620,0.097944,0.846937,0.912441,1.016597,1.068364,1.111990,1.294611,11457.362618,11109.341170,10852.244702,10797.012645,calls/second,milliseconds
1743018662,506708,3.378326,0.852118,0.532843,0.108860,0.847529,0.907624,1.001808,1.046086,1.083413,1.996608,11461.908178,11109.341170,10852.244702,10797.012645,calls/second,milliseconds
1743018663,518092,3.231504,0.874047,0.570177,0.142621,0.860209,0.926966,1.052677,1.163100,1.311868,2.529896,11459.755487,11154.136993,10865.754397,10801.846911,calls/second,milliseconds
1743018664,529683,4.020686,0.859640,0.541558,0.161795,0.843847,0.911945,1.034658,1.140927,1.294223,3.175237,11461.886279,11154.136993,10865.754397,10801.846911,calls/second,milliseconds
1743018665,541248,2.503364,0.861105,0.552592,0.142496,0.847037,0.914513,1.038733,1.130230,1.435611,2.265592,11463.529565,11154.136993,10865.754397,10801.846911,calls/second,milliseconds
1743018666,553020,6.726685,0.848851,0.540491,0.119768,0.844984,0.909115,1.008519,1.055677,1.094317,1.337837,11468.498779,11154.136993,10865.754397,10801.846911,calls/second,milliseconds
1743018667,564685,2.294884,0.854132,0.538410,0.109490,0.849097,0.913978,1.019389,1.074652,1.128036,1.832531,11471.848141,11154.136993,10865.754397,10801.846911,calls/second,milliseconds
1743018668,576438,2.785550,0.850169,0.549128,0.104447,0.845053,0.909361,1.013324,1.063119,1.101325,1.613437,11476.061525,11187.723376,10877.463973,10806.125865,calls/second,milliseconds
1743018669,588222,2.075340,0.847932,0.532252,0.100238,0.842462,0.906815,1.010932,1.060492,1.099639,1.469156,11480.744636,11187.723376,10877.463973,10806.125865,calls/second,milliseconds
1743018670,600037,2.309340,0.843004,0.567394,0.098340,0.838486,0.902190,0.998869,1.045787,1.090801,1.345714,11486.548398,11187.723376,10877.463973,10806.125865,calls/second,milliseconds
1743018671,611776,7.128499,0.851136,0.548388,0.128208,0.845714,0.910300,1.009379,1.059042,1.103032,2.025201,11490.102762,11187.723376,10877.463973,10806.125865,calls/second,milliseconds
1743018672,623136,3.103595,0.877267,0.548394,0.145273,0.860866,0.930093,1.055747,1.220389,1.475520,2.198610,11487.108851,11187.723376,10877.463973,10806.125865,calls/second,milliseconds
1743018673,634170,7.887022,0.905962,0.569174,0.325672,0.872724,0.944590,1.116669,1.319883,1.718679,7.145749,11477.526510,11218.176590,10888.887447,10810.350087,calls/second,milliseconds
1743018674,645927,4.945701,0.846397,0.531691,0.124920,0.838686,0.904222,1.007673,1.063209,1.121629,2.122672,11482.095350,11218.176590,10888.887447,10810.350087,calls/second,milliseconds
1743018675,657607,3.518178,0.852903,0.541708,0.122725,0.842423,0.908643,1.021916,1.099550,1.218838,1.999228,11485.003154,11218.176590,10888.887447,10810.350087,calls/second,milliseconds
1743018676,669334,6.080390,0.851420,0.555827,0.123139,0.844055,0.909394,1.009365,1.066035,1.125684,1.952057,11488.158392,11218.176590,10888.887447,10810.350087,calls/second,milliseconds
1743018677,680982,4.380678,0.857994,0.574229,0.110036,0.851431,0.916391,1.020979,1.073745,1.116150,1.933372,11489.639147,11218.176590,10888.887447,10810.350087,calls/second,milliseconds
1743018678,692727,2.574525,0.851559,0.559485,0.098632,0.847583,0.907755,1.005703,1.053358,1.089552,1.699112,11492.656578,11247.394232,10900.370035,10814.634009,calls/second,milliseconds
